CustomerID,Name,Place,Age,Income,LoanAmount,CreditScore,EMI_Delay,Card_Usage,Savings,Online_Shopping,Dependents,Experience,Phone_Hours,Complaint_Count,Policy_Sales,Target
C1001,Akhil,Calicut,24,32000,120000,690,1,45,18000,Yes,0,2,3.2,0,1,0
C1002,Meera,Kochi,41,76000,350000,810,0,78,95000,Yes,2,14,5.8,1,3,1
C1003,Rahul,Trivandrum,36,54000,240000,720,2,55,42000,No,1,9,4.1,0,2,0
C1004,Fathima,Malappuram,29,48000,180000,680,3,49,30000,Yes,1,5,6.0,2,1,0
C1005,Arjun,Kannur,52,98000,420000,845,0,88,120000,Yes,3,24,2.4,0,5,1
C1006,Niya,Kasaragod,33,61000,250000,740,1,61,50000,No,2,11,4.9,1,2,1
C1007,Aswin,Calicut,27,39000,150000,650,4,40,21000,No,0,4,7.2,3,0,0
C1008,Sneha,Kochi,45,88000,390000,820,0,83,110000,Yes,2,18,3.1,0,4,1
C1009,Vivek,Thrissur,31,57000,230000,710,2,58,46000,Yes,1,8,5.4,1,2,1
C1010,Hiba,Calicut,26,35000,140000,640,5,36,17000,No,0,3,8.1,4,0,0
C1011,Adil,Kollam,39,69000,310000,790,1,70,76000,Yes,2,13,4.0,0,3,1
C1012,Anu,Palakkad,34,62000,260000,750,1,63,52000,Yes,1,10,4.8,1,2,1
C1013,Farhan,Kannur,28,43000,170000,660,3,44,26000,No,1,5,6.5,2,1,0
C1014,Diya,Kochi,47,91000,410000,835,0,85,118000,Yes,3,20,2.7,0,5,1
C1015,Junaid,Calicut,30,52000,220000,700,2,57,40000,Yes,1,7,5.0,1,2,1
C1016,Athira,Thrissur,25,34000,130000,630,4,35,16000,No,0,2,7.8,3,0,0
C1017,Nihal,Kasaragod,43,80000,370000,815,0,80,98000,Yes,2,16,3.4,0,4,1
C1018,Roshni,Kollam,37,58000,240000,725,1,60,47000,Yes,2,9,4.5,1,2,1
C1019,Shamil,Malappuram,32,56000,225000,705,2,54,43000,No,1,8,5.7,1,1,0
C1020,Hana,Calicut,24,31000,115000,620,5,32,14000,No,0,2,8.4,4,0,0
C1021,Ameen,Kochi,50,96000,430000,850,0,90,125000,Yes,3,25,2.2,0,5,1
C1022,Riya,Trivandrum,35,64000,270000,760,1,65,55000,Yes,1,11,4.2,0,2,1
C1023,Faizal,Kannur,29,45000,175000,670,3,47,28000,No,1,6,6.1,2,1,0
C1024,Neha,Palakkad,42,79000,360000,805,0,79,92000,Yes,2,15,3.6,0,4,1
C1025,Ajmal,Calicut,31,55000,235000,715,2,56,44000,Yes,1,8,5.1,1,2,1
C1026,Miya,Kochi,26,36000,145000,645,4,38,18000,No,0,3,7.5,3,0,0
C1027,Sharon,Thrissur,44,87000,400000,825,0,84,115000,Yes,3,19,2.9,0,5,1
C1028,Nimisha,Kollam,38,60000,245000,730,1,62,49000,Yes,2,10,4.6,1,2,1
C1029,Arif,Malappuram,33,57000,228000,710,2,55,45000,No,1,9,5.5,1,1,0
C1030,Liya,Calicut,25,33000,125000,625,5,34,15000,No,0,2,8.0,4,0,0
C1031,Sameer,Kochi,48,93000,415000,840,0,87,119000,Yes,3,22,2.5,0,5,1
C1032,Aiswarya,Trivandrum,36,65000,275000,765,1,66,56000,Yes,1,12,4.3,0,3,1
C1033,Shiyas,Kannur,28,44000,168000,655,3,43,25000,No,1,5,6.7,2,1,0
C1034,Anjali,Palakkad,41,78000,355000,800,0,77,90000,Yes,2,14,3.7,0,4,1
C1035,Irfan,Calicut,30,53000,222000,702,2,57,41000,Yes,1,7,5.2,1,2,1
C1036,Megha,Kochi,24,32000,118000,618,5,31,13000,No,0,2,8.5,5,0,0
C1037,Aslam,Thrissur,46,89000,405000,830,0,86,117000,Yes,3,21,2.6,0,5,1
C1038,Revathi,Kollam,37,59000,242000,728,1,61,48000,Yes,2,9,4.7,1,2,1
C1039,Noufal,Malappuram,34,57500,229000,712,2,55,44500,No,1,9,5.6,1,1,0
C1040,Ayana,Calicut,26,34000,128000,628,4,36,15500,No,0,3,7.9,4,0,0
C1041,Faris,Kochi,49,95000,425000,848,0,89,123000,Yes,3,24,2.3,0,5,1
C1042,Nayana,Trivandrum,35,64500,272000,762,1,64,54500,Yes,1,11,4.4,0,3,1
C1043,Shanid,Kannur,29,45500,172000,668,3,46,27500,No,1,6,6.2,2,1,0
C1044,Devika,Palakkad,43,80500,365000,808,0,80,94000,Yes,2,16,3.5,0,4,1
C1045,Adnan,Calicut,31,54800,233000,713,2,56,43800,Yes,1,8,5.3,1,2,1
C1046,Anjana,Kochi,25,33500,126000,622,5,33,14500,No,0,2,8.2,4,0,0
C1047,Rashid,Thrissur,47,90500,408000,832,0,85,116500,Yes,3,22,2.7,0,5,1
C1048,Keerthana,Kollam,38,60200,247000,732,1,63,49500,Yes,2,10,4.5,1,2,1
C1049,Shabeer,Malappuram,33,56800,227000,709,2,54,44200,No,1,8,5.4,1,1,0
C1050,Hiba,Calicut,24,31500,117000,619,5,32,13800,No,0,2,8.3,5,0,0
C1051,Akhil,Calicut,24,32000,120000,690,1,45,18000,Yes,0,2,3.2,0,1,0
C1052,Meera,Kochi,41,76000,350000,810,0,78,95000,Yes,2,14,5.8,1,3,1
C1053,Rahul,Trivandrum,36,54000,240000,720,2,55,42000,No,1,9,4.1,0,2,0
C1054,Fathima,Malappuram,29,48000,180000,680,3,49,30000,Yes,1,5,6.0,2,1,0
C1055,Arjun,Kannur,52,98000,420000,845,0,88,120000,Yes,3,24,2.4,0,5,1
C1056,Niya,Kasaragod,33,61000,250000,740,1,61,50000,No,2,11,4.9,1,2,1
C1057,Aswin,Calicut,27,39000,150000,650,4,40,21000,No,0,4,7.2,3,0,0
C1058,Sneha,Kochi,45,88000,390000,820,0,83,110000,Yes,2,18,3.1,0,4,1
C1059,Vivek,Thrissur,31,57000,230000,710,2,58,46000,Yes,1,8,5.4,1,2,1
C1060,Hiba,Calicut,26,35000,140000,640,5,36,17000,No,0,3,8.1,4,0,0
C1061,Adil,Kollam,39,69000,310000,790,1,70,76000,Yes,2,13,4.0,0,3,1
C1062,Anu,Palakkad,34,62000,260000,750,1,63,52000,Yes,1,10,4.8,1,2,1
C1063,Farhan,Kannur,28,43000,170000,660,3,44,26000,No,1,5,6.5,2,1,0
C1064,Diya,Kochi,47,91000,410000,835,0,85,118000,Yes,3,20,2.7,0,5,1
C1065,Junaid,Calicut,30,52000,220000,700,2,57,40000,Yes,1,7,5.0,1,2,1
C1066,Athira,Thrissur,25,34000,130000,630,4,35,16000,No,0,2,7.8,3,0,0
C1067,Nihal,Kasaragod,43,80000,370000,815,0,80,98000,Yes,2,16,3.4,0,4,1
C1068,Roshni,Kollam,37,58000,240000,725,1,60,47000,Yes,2,9,4.5,1,2,1
C1069,Shamil,Malappuram,32,56000,225000,705,2,54,43000,No,1,8,5.7,1,1,0
C1070,Hana,Calicut,24,31000,115000,620,5,32,14000,No,0,2,8.4,4,0,0
C1071,Ameen,Kochi,50,96000,430000,850,0,90,125000,Yes,3,25,2.2,0,5,1
C1072,Riya,Trivandrum,35,64000,270000,760,1,65,55000,Yes,1,11,4.2,0,2,1
C1073,Faizal,Kannur,29,45000,175000,670,3,47,28000,No,1,6,6.1,2,1,0
