Employee_ID,Name,Age,Department,City,Salary,Joining_Date,Email,Phone_Number,Performance_Score,Bonus_Percentage,Work_Hours_Per_Week,Status,Remarks
1,Laura Wilson,26.0,Marketing,Kannur,32592.0,17-06-2021,carol20@yahoo.com,1583022848,2.0,10.0,,ACTIVE,Good
113,Travis Peterson,120.0,,,,27-10-2025,elizabethowen@callahan.com,,4.0,15.0,45.0,Inactive,Needs Improvement
3,Steven Smith,120.0,,Kochi,62118.0,,invalidemail.com,,1.0,20.0,35.0,ACTIVE,Top Performer
4,William Mcmahon,38.0,,Calicut,65400.0,13-10-2018,invalidemail.com,99999,4.0,-10.0,45.0,Inactive,Top Performer
5,William Cohen,,Marketing,,52993.0,11-07-2023,paul51@ramos.net,99999,4.0,15.0,100.0,, 
6,Michael Mack,-5.0,Finance,Kochi,46785.0,20-09-2018,,,3.0,10.0,100.0,active,
7,Troy Carpenter,-5.0,Marketing,Kannur,78142.0,2025/10/02,vanessaburns@yahoo.com,9973313785,5.0,20.0,35.0,Active,Good
33,Bridget Mclaughlin,-5.0,Marketing,Trivandrum,73333.0,,pforbes@hotmail.com,,,5.0,100.0,ACTIVE,Top Performer
9,James Lopez,,Marketing,Kochi,62587.0,,invalidemail.com,,5.0,,40.0,Inactive,Top Performer
10,Lisa Dunlap,51.0,Sales,Trivandrum,39174.0,2019/04/14,davidpatterson@gmail.com,0529792570,2.0,,35.0,Active,
66,Kristina Macias DVM,,Finance,Thrissur,27071.0,,invalidemail.com,4060185508,5.0,-10.0,100.0,Inactive,Top Performer
461,David Murphy DVM,,HR,Kochi,,2024/03/26,katkins@yahoo.com,,5.0,10.0,,Inactive,Good
13,Heather Ward,41.0,Marketing,Calicut,27305.0,2019/05/27,,99999,2.0,,40.0,, 
14,Zachary Garcia,-5.0,Finance,Kannur,,2019/09/20,invalidemail.com,,1.0,-10.0,100.0,,Good
15,Andrea Miller,-5.0,HR,Kannur,25944.0,23-08-2024,invalidemail.com,99999,2.0,5.0,50.0,ACTIVE,Good
16,Karen Adkins,,IT,Kannur,24630.0,2019/12/17,smithhaley@hotmail.com,99999,1.0,10.0,50.0,Active,
217,Timothy Brown,,Finance,Calicut,,29-04-2025,,,5.0,5.0,100.0,Pending,Good
18,Andrew Young,52.0,,Calicut,83909.0,22-04-2023,,0016084020,,10.0,50.0,Active, 
42,Erica Moore,120.0,Finance,Calicut,23209.0,,,99999,2.0,15.0,50.0,Inactive,Top Performer
20,Joanne Rodriguez,,Marketing,Trivandrum,77929.0,02-03-2025,invalidemail.com,1457266625,2.0,15.0,45.0,Inactive,
21,Hannah Todd,,Finance,Kochi,89200.0,25-05-2019,,,2.0,15.0,45.0,ACTIVE,Needs Improvement
22,Gary Moss Jr.,23.0,Support,Kannur,52600.0,2021/04/29,cynthia42@romero-coleman.com,8639538535,3.0,10.0,100.0,Pending,Needs Improvement
23,Kelsey Ellis,,Marketing,Kochi,74057.0,2018/10/16,,,2.0,20.0,40.0,Active,Top Performer
24,Michael Schultz,120.0,,Thrissur,,2024/02/06,,,2.0,10.0,40.0,Inactive,
25,Stanley Zuniga,,,,,09-08-2019,invalidemail.com,6449523301,10.0,20.0,40.0,Inactive,
26,Richard Morris,120.0,Finance,,63830.0,19-01-2024,invalidemail.com,99999,,,50.0,, 
27,Courtney Bowman,22.0,Marketing,Kannur,,2023/01/22,,99999,4.0,,,Active,
28,Christopher Davis,,Finance,Kannur,23817.0,31-07-2020,,99999,5.0,15.0,100.0,Active,Top Performer
29,Anthony Mills,,HR,Kannur,,,invalidemail.com,,,10.0,,ACTIVE,Top Performer
30,Sierra West DVM,120.0,IT,Kannur,,2026/05/11,,8481759726,5.0,20.0,100.0,Inactive,Good
31,Gina Brock,,,Calicut,55196.0,30-11-2025,sarahjohnson@gmail.com,7720575714,2.0,20.0,,Active,
368,Mrs. Danielle Campbell,-5.0,HR,Calicut,72321.0,,,8755188513,10.0,5.0,50.0,Inactive,Needs Improvement
33,Valerie Thompson,,,Kannur,85889.0,,,,5.0,15.0,50.0,ACTIVE, 
34,Chelsea Fuller,-5.0,Finance,,,24-03-2023,,99999,10.0,,50.0,,Needs Improvement
35,Karen Grimes,40.0,HR,Calicut,53992.0,27-02-2022,invalidemail.com,,2.0,-10.0,40.0,Active,
36,Stacey Greene,-5.0,,Thrissur,,,epeters@reed.com,,4.0,20.0,35.0,Pending,Top Performer
37,Brandon Norton,,Finance,Kannur,72921.0,2019/09/20,schultzmary@francis.com,99999,3.0,-10.0,100.0,active,Needs Improvement
465,Christopher Alvarado,57.0,Sales,,79261.0,2019/12/25,dnewton@mercado.com,99999,2.0,5.0,45.0,active,Top Performer
143,Timothy Melton,36.0,IT,Kochi,,,,5982541044,3.0,10.0,100.0,Active,Good
40,Mrs. Stephanie Alvarez,,IT,,22067.0,04-11-2025,,2683958584,4.0,-10.0,45.0,Pending,Needs Improvement
41,Kevin Parker DDS,-5.0,IT,,,18-09-2024,mistyshelton@yahoo.com,,,-10.0,40.0,Active,Top Performer
178,James Cook,43.0,Marketing,,33866.0,2024/11/01,vbaker@hotmail.com,99999,10.0,20.0,35.0,active,Top Performer
43,Matthew Hancock,-5.0,IT,Kannur,78258.0,,,99999,3.0,10.0,35.0,Pending,
343,Aaron Velasquez,41.0,IT,,92691.0,2023/11/06,cordovadavid@yahoo.com,99999,2.0,15.0,45.0,Pending,Top Performer
45,Sarah Perry,-5.0,Marketing,,54211.0,25-09-2019,,99999,,-10.0,50.0,active,Good
46,Tammy Miranda,120.0,IT,Thrissur,71005.0,,invalidemail.com,99999,,,45.0,Pending,
47,Andrew Winters,40.0,Support,Thrissur,53509.0,,ggolden@gmail.com,3259509485,2.0,-10.0,50.0,Pending, 
48,John Martin,,Finance,Kochi,86765.0,,,5154798397,3.0,5.0,35.0,ACTIVE,Top Performer
